pedido_id,data,uf,canal,categoria,produto,cliente_id,quantidade,receita,lucro,observacao
1000,2024/04/29,SP,Loja Física,Informática,Notebook Pro,C134,1,4535.11,1289.83,ok
1001,2024-06-17,PR,,Informática,Notebook Pro,C106,1,4005.59,541.36,entrega rápida
1002,2024-05-27,PR,Marketplace,Periféricos,Teclado Mecânico,C131,1,309.02,128.26,entrega rápida
1003,2024-07-08,SP,Marketplace,Informática,Notebook Pro,C148,2,7943.78,1574.09,ok
1004,2024-05-20,RS,Online,Informática,Notebook Pro,C105,5,19926.65,4281.84,ok
1005,2024-02-26,RJ,Loja Física,Periféricos,Teclado Mecânico,C155,2,752.94,375.76,
1006,2024-07-29,RJ,Loja Física,Áudio,Headset Pro,C143,4,1154.6,491.0,
1007,2024-09-23,PR,Online,Informática,Monitor 27,C150,5,6938.5,1379.84,
1008,2024-08-19,SC,Loja Física,Áudio,Caixa de Som,C165,1,389.08,138.19,ok
1009,2024-11-18,,Loja Física,Periféricos,Teclado Mecânico,C133,1,316.41,153.73,entrega rápida
1010,2024-05-27,SC,Online,Telefonia,Smartphone X,C158,3,6752.19,736.8,
1011,2024-01-08,ES,Marketplace,Telefonia,Smartphone X,C111,2,6230.34,1868.54,cliente premium
1012,2024-06-03,ES,Loja Física,Informática,Notebook Pro,C168,3,13293.72,4115.9,ok
1013,2024-08-05,ES,Marketplace,Áudio,Headset Pro,C161,3,785.88,347.34,entrega rápida
1014,2024-08-26,RS,Loja Física,Periféricos,Teclado Mecânico,C159,2,zero,323.62,ok
1015,2024-02-26,RS,Online,Informática,Notebook Pro,C102,3,0,,cliente premium
1016,2024-10-28,BA,Loja Física,Telefonia,Smartphone X,C153,4,13677.0,5446.4,ok
1017,2024/09/30,SP,Marketplace,Periféricos,Mouse Gamer,C145,2,,237.4,ok
1018,08/07/2024,rj,Marketplace,Periféricos,Mouse Gamer,C148,3,0,304.18,ok
1019,2024-01-08,PR,Loja Física,Telefonia,Tablet Plus,C160,5,11756.35,3855.33,ok
1020,2024-07-01,PR,Online,Telefonia,Smartphone X,C120,2,6168.82,1699.68,
1021,2024-11-11,MG,Loja Física,Periféricos,Mouse Gamer,C130,1,200.41,106.78,ok
1022,2024-12-02,SC,Marketplace,Informática,Notebook Pro,C139,3,12365.04,3340.22,entrega rápida
1023,2024-12-09,SC,Loja Física,Áudio,Headset Pro,C116,3,871.47,411.42,cliente premium
1024,2024-10-07,MG,Marketplace,Periféricos,Mouse Gamer,C149,5,821.0,418.77,
1025,2024-11-25,MG,Loja Física,Informática,Notebook Pro,C102,4,16257.88,3538.54,cliente premium
1026,2024-11-25,RS,Loja Física,Áudio,Caixa de Som,C154,2,714.64,204.51,ok
1027,2024-08-19,PR,Marketplace,Periféricos,Teclado Mecânico,C165,2,725.04,371.32,entrega rápida
1028,2024-08-12,SP,Marketplace,Telefonia,Smartphone X,C147,3,7944.21,1585.92,entrega rápida
1029,2024-02-05,BA,Marketplace,Telefonia,Smartphone X,C131,1,3384.21,1166.12,entrega rápida
1030,2024-04-22,SC,Online,Telefonia,Smartphone X,C164,5,13029.85,1930.28,ok
1031,2024-08-12,ES,Online,Informática,Monitor 27,C124,5,  7299.0,1778.33,cliente premium
1032,2024-02-05,PR,Online,,Monitor 27,C143,1,,266.46,entrega rápida
1033,2024-12-16,RS,Loja Física,Periféricos,Teclado Mecânico,C150,2,672.88,366.5,ok
1034,2024-11-11,RS,Loja Física,Áudio,Headset Pro,C150,4,1352.8,713.59,entrega rápida
1035,2024-09-30,RJ,Marketplace,Periféricos,Teclado Mecânico,C177,3,973.8,511.28,
1036,2024-11-04,BA ,Marketplace,Telefonia,Smartphone X,C106,4,10110.16,1498.34,cliente premium
1037,2024-06-10,SC,Loja Física,Áudio,Caixa de Som,C145,5,1929.4,699.33,entrega rápida
1038,2024-05-27,ES,Online,Áudio,Caixa de Som,C148,4,1676.56,782.37,ok
1039,2024-06-17,BA,Online,Telefonia,Tablet Plus,C171,3,7287.54,3243.18,
1040,2024-01-29,BA,Online,Telefonia,Smartphone X,C133,3,8315.73,1675.88,cliente premium
1041,2024-06-17,RJ,Marketplace,Informática,Notebook Pro,C149,4,18962.08,6335.03,cliente premium
1042,2024-07-22,PR,Online,Periféricos,Mouse Gamer,C157,4,"R$ 748,80",380.26,cliente premium
1043,2024-09-09,PR,Online,Áudio,Caixa de Som,C158,2,754.58,300.98,cliente premium
1044,2024-01-22,MG,ONLINE,Telefonia,Smartphone X,C102,2,5949.26,1381.85,
1045,2024-11-18,MG,Loja Física,Áudio,Caixa de Som,C168,3,  1175.97,390.96,ok
1046,2024-08-26,MG,Loja Física,,Caixa de Som,C147,5,1991.95,841.36,entrega rápida
1047,2024-07-22,BA,Marketplace,Informática,Notebook Pro,C174,3,13877.43,4117.7,ok
1048,2024-11-18,SC,Online,Telefonia,Smartphone X,C108,4,11403.2,2402.44,cliente premium
1049,2024-03-11,SC,Loja Física,Áudio,Headset Pro,C154,5,1373.15,567.42,ok
1050,2024-08-05,MG,Online,Informática,Notebook Pro,C105,3,12885.99,3963.7,cliente premium
1051,2024-12-02,ES,Loja Física,,Teclado Mecânico,C163,1,zero,122.47,
1052,2024-05-06,SP,Online,Informática,Monitor 27,C156,4,5745.28,1256.06,cliente premium
1053,data_invalida,SP,Marketplace,Informática,Monitor 27,C150,3,"R$ 4.507,32",1387.87,
1054,2024-02-19,RJ,Marketplace,Áudio,Caixa de Som,C155,3,1299.33,555.37,
1055,2024-03-04,RS,Online,Telefonia,Smartphone X,C124,2,6506.98,2347.89,entrega rápida
1056,2024-01-15,ES,Online,Informática,Monitor 27,C109,3,4401.21,1416.43,
1057,2024-01-01,SC,Marketplace,Informática,Notebook Pro,C141,3,11853.27,2218.27,ok
1058,2024-04-15,SC,Marketplace,Informática,Notebook Pro,C137,4,18778.28,5781.55,entrega rápida
1059,2024-02-19,BA,Marketplace,Áudio,Headset Pro,C141,2,542.46,220.22,entrega rápida
1060,2024-11-25,PR,Online,Informática,Notebook Pro,C159,3,14071.26,3801.49,entrega rápida
1061,data_invalida,SC,Loja Física,Telefonia,Tablet Plus,C171,2,4015.66,1399.22,entrega rápida
1062,2024-01-29,RS,Online,Telefonia,Tablet Plus,C136,2,3871.38,924.6,entrega rápida
1063,2024-11-18,SP,Online,Áudio,Caixa de Som,C115,4,1663.24,704.68,
1064,2024-09-02,RJ,Loja Física,Telefonia,Smartphone X,C166,3,8612.22,1947.2,cliente premium
1065,2024-06-10,ES,Loja Física,Áudio,Headset Pro,C106,1,273.97,114.86,ok
1066,2024-09-16,PR,Marketplace,Periféricos,Mouse Gamer,C110,3,  530.58,251.09,entrega rápida
1067,2024-03-18,SC,Online,Telefonia,Tablet Plus,C160,2,4939.44,1836.2,entrega rápida
1068,2024-03-11,SP,,Informática,Notebook Pro,C104,3,12391.68,2833.21,ok
1069,2024-04-08,RS,Loja Física,Periféricos,Teclado Mecânico,C125,2,635.12,290.38,
1070,22/01/2024,MG,Online,Informática,Notebook Pro,C159,4,17579.12,4955.04,ok
1071,2024-10-21,RJ,Loja Física,Periféricos,Teclado Mecânico,C156,1,302.87,119.17,entrega rápida
1072,2024-04-15,SC,Loja Física,Informática,Monitor 27,C118,4,6177.4,2137.27,ok
1073,06/05/2024,PR,Marketplace,Informática,Notebook Pro,C151,3,11334.3,1999.23,cliente premium
1074,2024-01-22,RJ,Marketplace,Informática,Monitor 27,C108,3,4369.8,1069.14,ok
1075,2024-05-06,ES,Online,Informática,Monitor 27,C171,1,1396.15,418.32,ok
1076,2024-07-01,,Loja Física,Áudio,Headset Pro,C180,1,282.78,135.58,entrega rápida
1077,2024-01-15,BA,Loja Física,Telefonia,Tablet Plus,C140,4,8234.12,2213.48,ok
1078,2024-08-12,RJ,Marketplace,,Smartphone X,C137,3,8397.81,1457.09,ok
1079,2024-11-18,MG,Marketplace,Telefonia,Tablet Plus,C141,3,6599.4,2144.2,
1080,2024-11-18,ES,Loja Física,Periféricos,Mouse Gamer,C109,3,552.09,278.72,entrega rápida
